Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,label,text,mention pair
"(4, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",1,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Larry', 'he')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('the elephants', 'their')"
"(4, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",1,"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.","('lemons', 'they')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",1,Jane gave Joan candy because she was hungry.,"('Joan', 'she')"
"(5, 5)","(3, 5)","(4, 5)","(5, 5)","(5, 5)",1,"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval","('Uncle Vernon', 'his')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(3, 5)",1,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","('Bernard', 'he')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(4, 5)",0,"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .","('children', 'them')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,Bill passed the half-empty plate to John because he was full.,"('John', 'he')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Patting her back, the woman smiled at the girl .","('the woman', 'her')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,Fred watched TV while George went out to buy groceries. After an hour he got up.,"('George', 'he')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",0,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('Dick', 'he')"
"(4, 5)","(5, 5)","(2, 5)","(5, 5)","(5, 5)",1,Jane gave Joan candy because she wasn't hungry.,"('Jane', 'she')"
"(3, 5)","(5, 5)","(5, 5)","(4, 5)","(4, 5)",0,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .","('button', 'it')"
"(5, 5)","(5, 5)","(5, 5)","(4, 5)","(4, 5)",0,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.","(""Amy's parents"", 'they')"
"(3, 5)","(5, 5)","(4, 5)","(5, 5)","(3, 5)",1,The storekeepers stayed in town to run their stores and lived in the rooms behind them .,"('stores', 'them')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",0,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","('the government official', 'he')"
"(5, 5)","(5, 5)","(3, 5)","(4, 5)","(5, 5)",0,The large ball crashed right through the table because it was made of styrofoam.,"('The large ball', 'it')"
"(5, 5)","(5, 5)","(5, 5)","(4, 5)","(5, 5)",0,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.","('Sam and Amy', 'they')"
"(4, 5)","(3, 5)","(4, 5)","(4, 5)","(5, 5)",0,"Then Dad figured out how much the man owed the store; to that he added the man 's board-bill at the cook-shanty. He subtracted that amount from the man 's wages, and made out his check","('the man', 'He')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Chester', 'his')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",1,"Joe Joe's uncle can still beat him at tennis, even though he is 30 years older.","(""Joe's uncle"", 'he')"
"(5, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",1,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('the master', 'he')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",0,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('the elephants', 'them')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(4, 5)",0,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('the master', 'he')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",1,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","('Bernard', 'he')"
"(5, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",0,"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.","('yard', 'it')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Larry', 'him')"
"(4, 5)","(4, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Joe Joe's uncle can still beat him at tennis, even though he is 30 years younger.","(""Joe's uncle"", 'he')"
"(5, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",0,"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.","('window', 'it')"
"(5, 5)","(4, 5)","(5, 5)","(5, 5)","(3, 5)",1,The large ball crashed right through the table because it was made of steel.,"('The large ball', 'it')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",1,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('the master', 'he')"
"(5, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.","('Mama', 'she')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",1,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('Dick', 'him')"
"(5, 5)","(4, 5)","(4, 5)","(4, 5)","(5, 5)",1,Fred watched TV while George went out to buy groceries. After an hour he got back.,"('George', 'he')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(4, 5)",1,"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.","('children', 'they')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",1,"Joe Joe's uncle can still beat him at tennis, even though he is 30 years younger.","('Joe', 'he')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('the master', 'him')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",0,"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval","('Uncle Vernon', 'he')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make fewer of them .","('the oatmeal cookies', 'them')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.","('Nancy', 'her')"
"(4, 5)","(3, 4)","(4, 5)","(5, 5)","(5, 5)",0,"Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy,","('Mr. Taylor', 'his')"
"(4, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",0,The storekeepers stayed in town to run their stores and lived in the rooms behind them .,"('rooms', 'them')"
"(5, 5)","(4, 4)","(5, 5)","(5, 5)","(5, 5)",0,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","('the government official', 'he')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('Dick', 'he')"
"(4, 5)","(4, 5)","(3, 5)","(5, 5)","(4, 5)",1,"The path to the lake was blocked, so we couldn't reach it .","('the lake', 'it')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .","('the government official', 'him')"
"(4, 5)","(5, 5)","(4, 5)","(4, 5)","(4, 5)",0,"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make more of them .","('the chocolate chip cookies', 'them')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(3, 5)",1,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .","('album', 'it')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Well satisfied with his purchases and feeling very elegant indeed, Babar goes to the photographer to have his picture taken.","('the photographer', 'his')"
"(4, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",1,"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful","('Mark', 'He')"
"(4, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",0,"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.","('Dick', 'he')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(4, 5)",0,"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful","('Mr. Schmidt', 'He')"
"(4, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",0,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('their mothers', 'their')"
"(3, 5)","(4, 5)","(5, 5)","(5, 5)","(4, 4)",1,The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,"('The customer', 'He')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(4, 5)",0,"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.","('lemon trees', 'they')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",0,The storekeepers stayed in town to run their stores and lived in the rooms behind them .,"('storekeepers', 'them')"
"(4, 5)","(4, 5)","(3, 5)","(5, 5)","(5, 5)",1,"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful","('Mr. Schmidt', 'his')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,Bill passed the half-empty plate to John because he was hungry.,"('Bill', 'he')"
"(5, 5)","(5, 5)","(2, 5)","(4, 5)","(5, 5)",1,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('Arthur and Celeste', 'their')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",1,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Dad', 'his')"
"(4, 5)","(4, 5)","(3, 5)","(5, 5)","(5, 5)",1,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.","('Sam and Amy', 'they')"
